,delay,mean_temps_x,std_temps_x,mean_temps_y,std_temps_y,phase_x,phase_y
0,31,119.41013261700859,21.3799687095925,293.2585557844268,62.50107655676915,1.599246589865806,1.7146561375880804
1,3,185.62335655500004,33.23521598141446,294.29018577814315,65.88154939415375,0.5070781870306214,0.5436714582596353
2,135,665.9251056413442,119.23157232955158,292.33519517473235,59.475383735221946,5.655872086110776,6.064027803665162
3,170,162.8626866113741,29.15999725310493,292.6396027156828,60.4728745316261,7.021082589654757,7.527758652825718
4,100,1021.5450327473598,182.90408244222556,291.51369252838066,56.78346182302951,4.290661582566796,4.600296954504606
5,58,160.31586759447745,28.703998173604226,293.8504377331855,64.44057120222135,2.6524089783140194,2.843819935511938
6,93,830.0849294551588,148.6238173789225,291.5359502262875,56.85639644565115,4.0176194818579996,4.307550784672494
7,10,163.96999281569262,29.358256574652874,292.1620762488875,58.90810299969553,0.7801202877394174,0.8364176280917465
8,117,1231.8247973910088,220.55394236329374,292.11338832562143,58.748561099264286,4.953763827145301,5.31125193838259
9,65,208.64621369141875,37.35737841480939,294.03409992831087,65.04240040905455,2.925451079022815,3.1365661053440492
10,156,299.90437730620846,53.69683495960215,292.0362580674149,58.49581860205799,6.4749983882371644,6.942266313161495
11,149,385.5490901554392,69.03122268466454,294.62773505075603,66.98763990320548,6.201956287528368,6.649520143329385
12,90,698.457715878806,125.05642295385326,291.7326452483498,57.500931971415824,3.9006014386970875,4.182088140458733
13,131,775.4393487196241,138.83971635739283,294.8924755875815,67.85514879597147,5.499848028562893,5.896744278046813
14,159,251.75750080675402,45.07630431119563,291.31863766470326,56.14430081487713,6.592016431398077,7.067728957375258
15,111,1200.310923626864,214.9114929588135,292.24503277418216,59.17993715901487,4.719727740823475,5.060326649955066
16,104,1126.7923206140663,201.74824299176743,291.342812402599,56.223517243077275,4.44668564011468,4.767580480122955
17,163,198.37963167503085,35.5191826399394,292.69919112432797,60.6681354275676,6.7480404889459615,7.235012482993608
18,86,574.8707395912252,102.92860502902613,291.59658709791177,57.05509297461036,3.744577381149204,4.014804614840384
19,0,216.21754635773507,38.712999173840664,292.9007698881257,61.32867413246683,0.3900601438697087,0.41820881404587323
20,152,347.84459613266677,62.28036427105745,292.3846406341098,59.63740794303852,6.318974330689281,6.774982787543147
21,107,1178.173165184582,210.94780436651675,292.3842630628428,59.63617070522798,4.563703683275592,4.8930431243367165
22,72,293.0,52.46063023611544,293.01731101483557,61.710559219803606,3.198493179731612,3.429312275176161
23,27,132.4803050530514,23.7201375897568,293.4574579331345,63.15284445330003,1.4432225323179224,1.547372611969731
24,41,138.2574462281868,24.754514608351677,297.407413704731,76.09616548970371,1.9893067337355144,2.1328649516339535
25,20,129.91156323210802,23.260213307857793,293.3599515493076,62.83333291892565,1.1701804316091262,1.2546264421376199
26,121,1116.7945966413208,199.958185314195,291.8907371810784,58.018971855208044,5.109787884693184,5.478535464000939
27,83,476.95405250103585,85.39696303227117,292.48896300058,59.9792542723315,3.627559337988291,3.889341970626621
28,69,258.61863790165506,46.30476702649897,292.88835300374814,61.28798614964829,3.081475136570699,3.3038496309623984
29,55,154.2179610488247,27.612189232056153,294.7421134559397,67.36243813162079,2.535390935153107,2.7183572912981764
30,17,137.74849646341264,24.663388924201275,292.644469101076,60.48882083749927,1.0531623884482135,1.1291637979238578
31,124,972.0910335905443,174.04951603166703,291.055095702673,55.28071944129741,5.226805927854097,5.603998108214702
32,34,122.61929255667025,21.954557626411468,292.0182140237887,58.43669140044956,1.7162646330267182,1.840118781801842
33,62,188.13848101659525,33.685540262367034,292.63090668644423,60.44437915151154,2.8084330358619027,3.0111034611302876
34,166,181.3399865501828,32.46829349169913,293.6233465761217,63.69643280458542,6.865058532106873,7.360475127207368
35,52,152.30182460130104,27.269111670750547,296.08079991413865,71.7490818312196,2.418372891992194,2.5928946470844143
36,128,865.1682457048973,154.90536303578313,294.2136404793101,65.63072370173035,5.3828299854019805,5.771281633833051
37,6,166.94908221717483,29.891652162359193,292.53390309552265,60.12651518474823,0.6240962301915339,0.6691341024733972
38,13,159.98722123205536,28.645155185779252,293.28453877952165,62.58621833181521,0.8971383309003301,0.9618802723055085
39,145,423.3331701657394,75.79633069235916,293.76106881843265,64.14772474338109,6.045932229980486,6.4822366177110355
40,114,1198.7644235434586,214.6345975019235,292.5087647347916,60.04414112374104,4.836745783984388,5.185789294168829
41,24,128.63870337941435,23.032312181763633,291.9562021884624,58.233489354365865,1.3262044891570097,1.421909967755969
42,38,135.82291305094554,24.318619917018648,292.39621168558534,59.67532427882859,1.872288690574602,2.007402307420192
43,45,141.79419292653463,25.387756794102344,292.82341796220913,61.075205266209544,2.145330791283398,2.300148477252303
44,97,955.7510727562163,171.12390292035087,292.4662642055347,59.904874250001406,4.173643539405883,4.474834310290843
45,79,417.77685817309316,74.80149237086641,292.11449920914293,58.752201274235475,3.4715352804404076,3.7220584450082717
46,142,423.935509427107,75.90417744058921,293.9801456281996,64.86560151055092,5.928914186819573,6.3567739734972735
47,48,145.7147355654585,26.08971630708378,294.8141089610212,67.59835493524355,2.262348834444311,2.425611121466065
48,138,527.0186072537297,94.36084729658106,293.35861508109525,62.828953538940695,5.77289012927169,6.189490447878924
49,76,348.2031052638591,62.34455408361449,294.5892532770107,66.86154179531185,3.354517237279495,3.59659580079451
